,"DOM_01T02: Agriculture, hunting, forestry",DOM_03: Fishing and aquaculture,"DOM_05T06: Mining and quarrying, energy producing products","DOM_07T08: Mining and quarrying, non-energy producing products",DOM_09: Mining support service activities,"DOM_10T12: Food products, beverages and tobacco","DOM_13T15: Textiles, textile products, leather and footwear",DOM_16: Wood and products of wood and cork,DOM_17T18: Paper products and printing,DOM_19: Coke and refined petroleum products,DOM_20: Chemical and chemical products,"DOM_21: Pharmaceuticals, medicinal chemical and botanical products",DOM_22: Rubber and plastics products,DOM_23: Other non-metallic mineral products,DOM_24: Basic metals,DOM_25: Fabricated metal products,"DOM_26: Computer, electronic and optical equipment",DOM_27: Electrical equipment,"DOM_28: Machinery and equipment, nec","DOM_29: Motor vehicles, trailers and semi-trailers",DOM_30: Other transport equipment,DOM_31T33: Manufacturing nec; repair and installation of machinery and equipment,"DOM_35: Electricity, gas, steam and air conditioning supply","DOM_36T39: Water supply; sewerage, waste management and remediation activities",DOM_41T43: Construction,DOM_45T47: Wholesale and retail trade; repair of motor vehicles,DOM_49: Land transport and transport via pipelines,DOM_50: Water transport,DOM_51: Air transport,DOM_52: Warehousing and support activities for transportation,DOM_53: Postal and courier activities,DOM_55T56: Accommodation and food service activities,"DOM_58T60: Publishing, audiovisual and broadcasting activities",DOM_61: Telecommunications,DOM_62T63: IT and other information services,DOM_64T66: Financial and insurance activities,DOM_68: Real estate activities,"DOM_69T75: Professional, scientific and technical activities",DOM_77T82: Administrative and support services,DOM_84: Public administration and defence; compulsory social security,DOM_85: Education,DOM_86T88: Human health and social work activities,"DOM_90T93: Arts, entertainment and recreation",DOM_94T96: Other service activities,DOM_97T98: Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,HFCE: Final consumption expenditure of households,NPISH: Final consumption expenditure of non-profit institutions serving households,GGFC: Final consumption expenditure of general government,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),TOTAL: Total
DOM_20: Chemical and chemical products,1402.7,15.9,77.8,42.1,46.4,456.8,286.6,42.7,441.5,445.3,3204.5,312.5,1508.2,118.9,48.6,108.4,141.1,65.9,85.7,179.3,6.9,115.6,11.7,57.6,285.3,225.1,173.3,23.2,15.5,26.6,4,106,46.2,19.6,6,39.2,82.9,125.9,140,104.2,35.8,258.9,47.6,533.9,0,3575.8,0,7.4,110.6,1317.1,0,23.5,2706.9,19263.3
"DOM_21: Pharmaceuticals, medicinal chemical and botanical products",133.9,1.2,7,1.7,2.5,178.6,14.6,4.3,17.5,11.6,68.3,775.7,22.7,8.7,7.9,8.1,13.8,4.1,15.5,24.7,0.5,5.6,9.9,3.8,47.3,29.8,18.6,1.3,2.4,6.3,0.6,24.4,6.8,5.3,3.8,17.5,6.1,43.6,12.8,27.6,25.9,804,3.8,103.9,0,3174.7,0,212.1,81.1,1203,0,19.1,577.2,7801.2
DOM_22: Rubber and plastics products,327,4.9,31.8,3.4,82.2,843.1,111.8,14,209.2,35.6,694.1,105.9,215.2,32.6,7.5,28.7,80.5,32.9,132.9,306.7,9.8,96.1,7.6,23.2,160.8,333.9,570.4,5.3,24.8,160,13.6,136.4,25.1,6.4,12.2,16.1,30.8,67.7,78,120.8,14.3,57.5,18.3,83.9,0,1530.2,0,3.9,202.8,527.7,0,3.6,869,8510.3
DOM_23: Other non-metallic mineral products,49,0.6,125.6,1.5,25.6,644.1,3.3,16.4,5.6,14.3,124.8,51.1,23.8,530.9,11.1,44.2,90.8,23.6,28.1,146.4,1.5,13.9,13,13.3,3301.2,168.5,52,14.4,58.2,3.7,0.3,40,17.4,3.3,1.3,10.9,117.1,21.2,10,34.8,34.7,59.6,10.9,17.6,0,418.2,0,0.7,53.6,134.9,0,0.4,182.1,6769.7
DOM_24: Basic metals,39.8,11.7,86.7,8.1,5.4,172.2,18.3,24.3,35.3,37.8,121.8,24.5,62.9,80.3,4273.9,903.1,238,683.9,570.1,1905.4,8.9,68.2,15.2,13.8,554.1,27.3,24.3,0.7,1,8.1,0.2,7.2,9.1,1.9,4.3,11.2,31.8,35.8,43.9,56.9,14.7,18.6,6.2,23.6,0,508.4,0,8.7,361.7,273.8,0,0.7,1412.9,12856.7
DOM_25: Fabricated metal products,26.2,19.1,106.2,3,3.9,249,20.7,29.3,27.5,7.9,95.8,20.1,33.8,19.6,93.2,322.7,54.7,113.5,534,814.7,8.3,83.6,15.9,16.5,618.2,40.8,28.2,1.9,1.5,8.4,0.5,13.1,10.1,7,3.6,10.6,49.1,24.3,61.3,57.3,10,13.2,7.3,20.3,0,734.6,0,7.7,855.7,572.3,0,3.8,983.3,6863.3
"DOM_26: Computer, electronic and optical equipment",13.6,0.8,13.5,0.9,4.5,30.3,4.1,1.6,18.7,13.4,11.1,5.2,4.2,2.9,2.6,5.7,267.2,12.2,26.3,40,0.3,9.3,19.9,2.6,55.9,29.3,14.7,0.5,1,5.7,0.4,9.4,35.9,62.5,10.2,8,5.9,33.1,34,38.5,11.8,97.7,1.8,35.8,0,1030.9,0,1.4,705.4,1096.1,0,29.2,1102.9,4968.9
DOM_27: Electrical equipment,14.2,2.3,13.1,1.2,3.9,32.6,4.6,2,6.3,2.2,8.2,3.3,3.6,5.6,29.7,14.8,58,54.4,102.1,124,1.4,9.5,98.5,4.6,172.3,89.7,43.1,1.2,0.9,17.4,0.7,25.1,11.4,82.5,7.2,6,58.3,10.2,33.7,27,7.5,13,2,10.4,0,615.4,0,3.4,411.4,643.6,0,11.2,331.5,3236.2
"DOM_28: Machinery and equipment, nec",63.9,17.5,68,4.5,11.9,96.1,20.3,9.7,39.7,5.2,21,10.3,17.9,17,12.1,43.7,15.2,28.4,431.8,661.2,3.7,22.4,32.3,17.7,351.7,66.7,84.7,17.8,1.6,20.9,0.9,23,11.2,7.7,5.7,12.8,20,28.4,143.9,48,10.4,16.4,4.3,12.1,0,353.4,0,2.9,3677.8,2097.6,0,2.6,790.2,9484.4
"DOM_29: Motor vehicles, trailers and semi-trailers",72.3,17.1,52.5,16.9,16.9,180.2,25.4,10.7,39.2,14,40.9,21.1,21.8,20.7,20.3,29.6,17.3,13.8,166.1,809.2,3.1,15.8,33.8,34.2,166.9,135.3,302.9,10.6,7.9,55.4,3.9,35,14.6,17.5,9.5,42,13.2,40.7,73.3,170.8,14.1,45.4,4.9,18.6,0,2231.3,0,18.1,1970.9,3357.5,0,28.8,6377.8,16859.6
DOM_30: Other transport equipment,1.8,0.4,1,0.5,1.1,4.2,0.9,0.5,1.6,0.2,1.4,0.6,0.9,0.8,0.4,1,0.5,0.2,2.3,14,2.1,0.3,2.7,1.1,1.1,3.6,9,0.1,0.3,2.6,0.1,0.6,0.5,0.6,0.9,2.6,0.6,3.7,3.1,5.8,2,1.5,0.2,0.8,0,60.8,0,0.2,60.9,160,0,0.2,82,444.5
DOM_31T33: Manufacturing nec; repair and installation of machinery and equipment,11.3,1.5,88,1.6,10.2,49.6,27,7.3,25,1.9,16.9,7.2,10.9,8.2,5.8,13.3,9.5,4.9,31.1,159.9,0.6,15.8,31.9,14.6,78.6,45.3,45.4,0.7,2.8,18.6,1.7,6.7,15.7,9.1,10.8,33.7,9.1,62.6,34.8,55.1,30.7,21.2,5.2,10,0,1269.4,0,2.7,386.6,565.6,0,64.7,467.6,3808.2
"DOM_35: Electricity, gas, steam and air conditioning supply",89.5,3.8,301.1,206.2,19.9,923.3,200.1,64.8,208.9,222,238.9,57.4,157.6,291.4,234.5,89.4,36.3,20.7,78.7,150.6,5.2,44.2,5108.3,273.8,267.7,1799.5,350.3,7,168.8,556.8,19.7,887.2,111.8,148.6,23.6,194.7,10.4,204.4,150.5,763.6,620.7,405.1,42.8,264.7,0,8766.3,0,0,0,3.4,0,0,94.3,24888.6
